WKT,networkGrp
"LINESTRING (2551175.31146495 6671566.63483559,2551111.36930631 6671441.3560805)","0"
"LINESTRING (2550636.89720539 6671631.94982727,2550611.51338109 6671615.74610805,2550609.33550341 6671596.18161743,2550675.57928278 6671482.09543136)","0"
"LINESTRING (2550955.76654586 6671748.94668143,2550991.9407641 6671685.38209152,2551028.36246845 6671646.51316998,2551045.82673756 6671634.44039893,2551175.31146495 6671566.63483559)","0"
"LINESTRING (2550636.89720539 6671631.94982727,2550578.80396824 6671730.59246861)","0"
"LINESTRING (2550838.30964291 6671750.97714748,2550636.89720539 6671631.94982727)","0"
"LINESTRING (2550955.76654586 6671748.94668143,2550924.76478709 6671798.60808016,2550838.30964291 6671750.97714748)","0"
"LINESTRING (2551086.29896441 6671839.64749989,2551235.03811036 6671764.34021469,2551250.39049808 6671753.61775358,2551259.21750231 6671729.32217704)","0"
"LINESTRING (2550779.39970163 6671848.84961204,2550578.80396824 6671730.59246861)","0"
"LINESTRING (2551086.29896441 6671839.64749989,2551006.2289616 6671778.52347016,2550955.76654586 6671748.94668143)","0"
"LINESTRING (2551596.4338123 6671064.40956038,2551481.42702174 6671124.96345925)","0"
"LINESTRING (2551481.42702174 6671124.96345925,2551445.17855767 6671054.67732655,2551435.18011924 6671046.10535904,2551419.34100885 6671039.60386676,2551404.84657294 6671040.84415144,2551386.40060897 6671047.83575621,2551312.4600119 6671088.84516906,2551297.33861121 6671100.23778399,2551288.84158845 6671108.17960687,2551285.12104742 6671126.43379673,2551335.65770899 6671225.19646562,2551491.2522199 6671144.01783278)","0"
"LINESTRING (2551491.2522199 6671144.01783278,2551481.42702174 6671124.96345925)","0"
"LINESTRING (2551618.77355757 6671352.91578089,2551528.92785382 6671397.78607992)","0"
"LINESTRING (2551528.92785382 6671397.78607992,2551436.27730761 6671444.05670037)","0"
"LINESTRING (2551906.43490086 6671776.92310283,2551921.57280063 6671722.22054701,2551916.69732446 6671708.97750735,2551897.690392 6671693.52396031,2551873.77498523 6671666.85783967,2551855.86524114 6671639.50156061,2551795.7261189 6671523.91503016,2551805.78230409 6671476.4941457,2551804.53662405 6671466.01173969,2551679.47364831 6671222.70589396,2551671.42210053 6671215.78430526,2551660.81319639 6671215.63427082,2551571.10773476 6671261.26474433,2551561.92600046 6671263.08516217,2551553.84970407 6671260.54457903,2551547.09333355 6671252.88282044,2551491.2522199 6671144.01783278)","0"
"LINESTRING (2551626.51162296 6671587.90971879,2551528.92785382 6671397.78607992)","0"
