name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
民生路,0,128398487,0,1,1,140.81,,,,secondary,4,"LINESTRING (114.2845590 30.5791660, 114.2846670 30.5791474, 114.2846861 30.5791435, 114.2849835 30.5790827, 114.2850545 30.5790582, 114.2853053 30.5789719, 114.2855843 30.5788287, 114.2858847 30.5786532)",auto,0,0,,
民生路,1,128398487,1,2,1,158.78,,,,secondary,4,"LINESTRING (114.2858847 30.5786532, 114.2862334 30.5785101, 114.2867130 30.5782294, 114.2871254 30.5779991, 114.2872913 30.5779022)",auto,0,0,,
民生路,2,128398487,2,3,1,63.48,,,,secondary,4,"LINESTRING (114.2872913 30.5779022, 114.2876480 30.5776513, 114.2878343 30.5775829)",auto,0,0,,
民生路,3,128398487,3,4,1,169.86,,,,secondary,4,"LINESTRING (114.2878343 30.5775829, 114.2879593 30.5774842, 114.2881920 30.5772779, 114.2884710 30.5769886, 114.2886594 30.5767781, 114.2887336 30.5766930, 114.2888867 30.5765886, 114.2890693 30.5765028)",auto,0,0,,
花楼街,4,128398489,5,6,1,88.36,,,,residential,6,"LINESTRING (114.2834041 30.5739280, 114.2834324 30.5739979, 114.2834450 30.5740289, 114.2836460 30.5746970)",auto,1,0,,
花楼街,5,128398489,6,5,1,88.36,,,,residential,6,"LINESTRING (114.2836460 30.5746970, 114.2834450 30.5740289, 114.2834324 30.5739979, 114.2834041 30.5739280)",auto,1,0,,
黄陂街,6,128479429,7,8,1,74.87,,,,tertiary,5,"LINESTRING (114.2875525 30.5739280, 114.2879207 30.5745238)",auto,0,0,,
黄陂街,7,128479429,8,9,1,90.53,,,,tertiary,5,"LINESTRING (114.2879207 30.5745238, 114.2883483 30.5752521)",auto,0,0,,
黄陂街,8,128479429,9,10,1,36.49,,,,tertiary,5,"LINESTRING (114.2883483 30.5752521, 114.2885207 30.5755457)",auto,0,0,,
黄陂街,9,128479429,10,11,1,40.98,,,,tertiary,5,"LINESTRING (114.2885207 30.5755457, 114.2887143 30.5758754)",auto,0,0,,
黄陂街,10,128479429,11,4,1,77.42,,,,tertiary,5,"LINESTRING (114.2887143 30.5758754, 114.2888898 30.5761744, 114.2890693 30.5765028)",auto,0,0,,
文书巷,11,128479435,12,13,1,4.86,,,,residential,6,"LINESTRING (114.2830250 30.5771813, 114.2830717 30.5771643)",auto,1,0,,
文书巷,12,128479435,13,12,1,4.86,,,,residential,6,"LINESTRING (114.2830717 30.5771643, 114.2830250 30.5771813)",auto,1,0,,
打铜街,13,128479493,14,15,1,148.26,,,,residential,6,"LINESTRING (114.2830250 30.5768738, 114.2831357 30.5768494, 114.2835829 30.5767506, 114.2838220 30.5766831, 114.2842054 30.5765748, 114.2844917 30.5764600)",auto,1,0,,
打铜街,14,128479493,15,14,1,148.26,,,,residential,6,"LINESTRING (114.2844917 30.5764600, 114.2842054 30.5765748, 114.2838220 30.5766831, 114.2835829 30.5767506, 114.2831357 30.5768494, 114.2830250 30.5768738)",auto,1,0,,
二盛巷,15,177262559,16,17,1,28.68,,,,residential,6,"LINESTRING (114.2848394 30.5741694, 114.2847316 30.5739280)",auto,1,0,,
二盛巷,16,177262559,17,16,1,28.68,,,,residential,6,"LINESTRING (114.2847316 30.5739280, 114.2848394 30.5741694)",auto,1,0,,
统一街,17,177265282,18,19,1,101.0,,,,residential,6,"LINESTRING (114.2839369 30.5791660, 114.2837763 30.5788009, 114.2836550 30.5784483, 114.2836018 30.5783026)",auto,0,0,,
统一街,18,177265282,19,20,1,13.17,,,,residential,6,"LINESTRING (114.2836018 30.5783026, 114.2835858 30.5782588, 114.2835604 30.5781893)",auto,0,0,,
统一街,19,177265282,20,21,1,91.53,,,,residential,6,"LINESTRING (114.2835604 30.5781893, 114.2834780 30.5779634, 114.2834635 30.5779343, 114.2832670 30.5775418, 114.2832075 30.5774228)",auto,0,0,,
统一街,20,177265282,21,13,1,31.47,,,,residential,6,"LINESTRING (114.2832075 30.5774228, 114.2831937 30.5773953, 114.2830845 30.5771886, 114.2830717 30.5771643)",auto,0,0,,
统一街,21,177265282,13,22,1,10.77,,,,residential,6,"LINESTRING (114.2830717 30.5771643, 114.2830250 30.5770759)",auto,0,0,,
花楼街,22,177265283,6,23,1,122.82,,,,residential,6,"LINESTRING (114.2836460 30.5746970, 114.2837977 30.5752539, 114.2839071 30.5754740, 114.2840713 30.5757343)",auto,0,0,,
花楼街,23,177265283,23,15,1,89.98,,,,residential,6,"LINESTRING (114.2840713 30.5757343, 114.2842541 30.5760372, 114.2842859 30.5760899, 114.2844483 30.5763870, 114.2844575 30.5764039, 114.2844917 30.5764600)",auto,0,0,,
花楼街,24,177265283,15,24,1,60.72,,,,residential,6,"LINESTRING (114.2844917 30.5764600, 114.2845230 30.5765115, 114.2846346 30.5766949, 114.2847547 30.5769267, 114.2847681 30.5769527)",auto,0,0,,
花楼街,25,177265283,24,25,1,39.77,,,,residential,6,"LINESTRING (114.2847681 30.5769527, 114.2847901 30.5769951, 114.2848909 30.5771416, 114.2849748 30.5772635)",auto,0,0,,
花楼街,26,177265283,25,26,1,44.79,,,,residential,6,"LINESTRING (114.2849748 30.5772635, 114.2850756 30.5774100, 114.2850912 30.5774327, 114.2852032 30.5775955, 114.2852141 30.5776106)",auto,0,0,,
花楼街,27,177265283,26,27,1,3.22,,,,residential,6,"LINESTRING (114.2852141 30.5776106, 114.2852318 30.5776353)",auto,0,0,,
花楼街,28,177265283,27,1,1,129.06,,,,residential,6,"LINESTRING (114.2852318 30.5776353, 114.2854124 30.5778865, 114.2856159 30.5782168, 114.2858847 30.5786532)",auto,0,0,,
花楼街,29,177265283,1,28,1,64.8,,,,residential,6,"LINESTRING (114.2858847 30.5786532, 114.2862096 30.5791660)",auto,0,0,,
民权路,30,233487288,29,30,1,16.83,,,,tertiary,5,"LINESTRING (114.2853562 30.5739280, 114.2852026 30.5740014)",auto,0,0,,
民权路,31,233487288,30,16,1,39.49,,,,tertiary,5,"LINESTRING (114.2852026 30.5740014, 114.2848394 30.5741694)",auto,0,0,,
民权路,32,233487288,16,6,1,128.72,,,,tertiary,5,"LINESTRING (114.2848394 30.5741694, 114.2842402 30.5744466, 114.2837649 30.5746664, 114.2836460 30.5746970)",auto,0,0,,
民权路,33,233487288,6,31,1,60.65,,,,tertiary,5,"LINESTRING (114.2836460 30.5746970, 114.2833822 30.5747647, 114.2830250 30.5747745)",auto,0,0,,
花楼东街,34,438314079,32,2,1,154.9,,,,residential,6,"LINESTRING (114.2879815 30.5791660, 114.2872913 30.5779022)",auto,1,0,,
花楼东街,35,438314079,2,32,1,154.9,,,,residential,6,"LINESTRING (114.2872913 30.5779022, 114.2879815 30.5791660)",auto,1,0,,
,36,621845963,27,33,1,159.61,,,,residential,6,"LINESTRING (114.2852318 30.5776353, 114.2856313 30.5774493, 114.2856881 30.5774246, 114.2860996 30.5772460, 114.2861313 30.5772323, 114.2863590 30.5770995, 114.2866715 30.5769171)",auto,1,0,,
