name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,,,,,,114.284559,30.579166,,,boundary node created by osm2gmns
,1,4154270306,,,,,,,114.2858847,30.5786532,,,
,2,4360488928,,,,,,,114.2872913,30.5779022,,,
,3,5874445796,,,,,,,114.2878343,30.5775829,,,
,4,317116256,,,,,,,114.2890693,30.5765028,,,
,5,,,,,,,,114.2834041,30.573928,,,boundary node created by osm2gmns
,6,1419796866,,,,,,,114.283646,30.574697,,,
,7,,,,,,,,114.2875525,30.573928,,,boundary node created by osm2gmns
,8,5874445809,,,,,,,114.2879207,30.5745238,,,
,9,5874445811,,,,,,,114.2883483,30.5752521,,,
,10,5874445807,,,,,,,114.2885207,30.5755457,,,
,11,5874445793,,,,,,,114.2887143,30.5758754,,,
,12,,,,,,,,114.283025,30.5771813,,,boundary node created by osm2gmns
,13,1419796829,,,,,,,114.2830717,30.5771643,,,
,14,,,,,,,,114.283025,30.5768738,,,boundary node created by osm2gmns
,15,1419797125,,,,,,,114.2844917,30.57646,,,
,16,1877164597,,,,,,,114.2848394,30.5741694,,,
,17,,,,,,,,114.2847316,30.573928,,,boundary node created by osm2gmns
,18,,,,,,,,114.2839369,30.579166,,,boundary node created by osm2gmns
,19,5875248301,,,,,,,114.2836018,30.5783026,,,
,20,5874448552,,,,,,,114.2835604,30.5781893,,,
,21,5874448592,,,,,,,114.2832075,30.5774228,,,
,22,,,,,,,,114.283025,30.5770759,,,boundary node created by osm2gmns
,23,1419796862,,,,,,,114.2840713,30.5757343,,,
,24,5874448598,,,,,,,114.2847681,30.5769527,,,
,25,5874445800,,,,,,,114.2849748,30.5772635,,,
,26,5874448557,,,,,,,114.2852141,30.5776106,,,
,27,5874445786,,,,,,,114.2852318,30.5776353,,,
,28,,,,,,,,114.2862096,30.579166,,,boundary node created by osm2gmns
,29,,,,,,,,114.2853562,30.573928,,,boundary node created by osm2gmns
,30,1270140836,,,,,,,114.2852026,30.5740014,,,
,31,,,,,,,,114.283025,30.5747745,,,boundary node created by osm2gmns
,32,,,,,,,,114.2879815,30.579166,,,boundary node created by osm2gmns
,33,5874445847,,,,,,,114.2866715,30.5769171,,,
,34,5874445789,,,,,,,114.2867493,30.5768718,,,
,35,5874445820,,,,,,,114.2861836,30.5766999,,,
,36,5874445848,,,,,,,114.2862724,30.576654,,,
,37,5874445805,,,,,,,114.2880909,30.5757167,,,
,38,5874445812,,,,,,,114.2879301,30.5754477,,,
,39,5874445808,,,,,,,114.2874949,30.5747197,,,
,40,5874445819,,,,,,,114.2862996,30.576253,,,
,41,5874445825,,,,,,,114.2852618,30.5759652,,,
,42,5874448499,,,,,,,114.28514,30.5760222,,,
,43,,,,,,,,114.289098,30.5764893,,,boundary node created by osm2gmns
,44,,,,,,,,114.283025,30.5785097,,,boundary node created by osm2gmns
,45,,,,,,,,114.283025,30.5760158,,,boundary node created by osm2gmns
,46,5875248306,,,,,,,114.2832841,30.5759461,,,
,47,,,,,,,,114.283025,30.5751608,,,boundary node created by osm2gmns
,48,,,,,,,,114.289098,30.5765858,,,boundary node created by osm2gmns
